atman,âtman
agnihotriji,agnihotrījī
shuddhikarana,shuddhikaraṇa
yajamana,yajamāna
kunkuma,kuṅkuma
pancha,pañcha
mandapa,maṇḍapa
mahajana,mahājana
shala,shālā
arani,araṇi
avartana,āvartana
pandita,paṇḍita
kunda,kunḍa
ahuti,āhuti
rudripath,rudrīpāt͟h
nagarik,nāgarik
junakhedapati,jūnākheḍāpati
hanuman,hanumān
vashishtha,vashis͟ht͟ha
swagat,swāgat
maharani,mahārānī
hemalata,hemalatā
raje,rāje
manapatra,mānapatra
bade,baḍe
hebιekar,hebῑekar
adhyaksha,adhyaks͟hā
usha,us͟ha
raniji,rānījī
koti,koṭi
mandore,manḍore
mehranagarh,mehrānagarh
jodha,jodhā
meherangarh,meherāngarh
shekhawat,shekhāwat
muchawala,mūc͟hawālā
somnath,somnāth
mahadev,mahādev
panchakam,pañchakam
asha,āshā
awasthi,awasthī
dilwara,dilwārā
shwetambara,shwetāmbara
nakki,nakkī
gurupaduka,gurupādukā
ardhanarishwara,ardhanārīshwara
girishwar,girīshwar
ashtamurti,as͟hṭamūrti
arbuda,arbudā
kacholi,kacholī
ishwaranand,īshwarānand
niranjan,nirañjan
soniji,sonījī
kalu,kālu
bhaiji,bhāijī
aravalli,arāvalli
bhandara,bhaṇḍārā
forte,forté
bombay,bombāy
subbarao,subbarāo
ankolekar,aṅkolekar
layabhasker,layabhāsker
khaprumama,khāprumāmā
kanpur,kānpur
farrukhabad,farrūkhābād
tal,tāl
kinnara,kinnarā
zia,ziā
karmabhumi,karmabhūmi
ali,alī
bhimsen,bhīmsen
kulkarni,kulkarṇī
parijnana,parijñāna
gajari,gajarī
nama,nāma
mhaino,mhainŏ
snanam,snānam
arunodaya,aruṇodaya
tirthakshetra,tīrthakshetra
madhava,mādhava
ghadiya,ghaḍiya
sindur,sindūr
αshadha,ᾱs͟hād͟ha
tantrik,tāntrik
mahavidya,mahāvidyā
shakti,shaktī
ghatasthapana,ghaṭasthāpanā
suvasini,suvāsinī
vaina,vāiṇa
gowri,gowrī
tayi,tayī
gurumath,gurumat͟h
akshara,aks͟hara
jnana,jñāna
vak,vāk
aksharabhyasa,aks͟harābhyāsa
brahmin,brāhmin
pitr,pitṛ
tarpan,tarpaṇ
kamadeva,kāmadeva
rashi,rāshi
sankramana,saṅkramaṇa
aruna,aruṇa
jilledu,jilleḍu
tapascharya,tapascharyā
vishesha,vishes͟ha
bhishmashtami,bhīs͟hmās͟hṭamī
pitamaha,pitāmaha
mahabharata,mahābhārata
pandava,pāṇḍavā
mahaganapti,mahāgaṇapti
αdya,ᾱdya
kshetrapala,ks͟hetrapāla
ganahoma,gaṇahoma
dwadasha,dwādasha
kalabhivrddhi,kalābhivṛddhi
umamaheshwara,umāmaheshwara
venugopal,veṇugopāl
sringeri,sriṅgerī
narayanashram,nārāyaṇāshram
amrtvani,amṛtvāṇī
keshavashram,keshavāshram
parijna,parijñā
smarta,smārta
himalayan,himālayan
kanara,kanarā
mahabaιeshwara,mahābaῑeshwara
ashrama,āshrama
bharatavarsha,bhāratavarsha
sthapanacharya,sthāpanāchārya
shankara,shaṅkara
siddhanta,siddhānta
shrngeri,shṛngerī
sharadamba,shāradāmbā
_mahasamadhi,_mahāsamādhi
krshnayya,kṛs̲h̲ṇayyā
haritekar,hariṭekar
basappa,basappā
nagarkatte,nāgarkaṭṭe
parashurama,parashurāma
nagarkattekar,nāgarkaṭṭekār
pailo,pailŏ
yatishwara,yatīshwara
yogi,yogī
danda,daṇḍa
vada,vaḍā
conji,conjī
mangaiuru,maṅgaīūru
vittal,viṭṭal
lajmi,lājmī
venkataramanaiyya,veṅkaṭaramaṇaiyyā
durgappayya,durgappayyā
saptashati,saptashatī
venkatapur,veṅkaṭāpur
prarabdha,prārabdha
kalappa,kālappā
prayaschita,prāyaschita
shantamurti,shāntamūrti
ramachandra,rāmachandra
sanyasa,sanyāsa
purvashrama,pūrvāshrama
subaraya,subarāya
elan,élan
krshnacharya,kṛshṅāchārya
paramahamsa,paramahaṁsa
rshikesha,ṛshikesha
paramartha,paramārtha
saptaha,saptāhā
achyutashram,achyutāshram
kaivalyashram,kaivalyāshram
nrsimhashram,nṛsiṁhāshram
jnata,jñāta
shankaranarayana,shaṅkaranārāyaṇa
shivaji,shivājī
grama,grāma
vikasa,vikāsa
yojana,yojanā
anandashraya,ānandāshraya
dipamalika,dīpamālikā
bengre,beṅgre
lonavaia,loṇāvaīā
shantisukhada,shāntisukhadā
durgaparameshwari,durgāparameshwarī
sanjivani,san͂jīvanī
iswarananda,īswarānanda
karunamayi,karuṇāmayī
gurushakti,gurushaktī
tirth,tīrth
mahaswamigaι,mahāswāmigaῑ
namasmarana,nāmasmaraṇa
mantradiksha,mantradīkshā
shodashopachara,shoḍashopachāra
anuradha,anurādhā
ayurvedic,āyurvedic
nalkur,nālkur
sripad,srīpād
mus,mūs
marnu,mārnu
kas,kās
karta,kartā
darbari,darbāri
tiruvannamalai,tiruvannāmalaī
_kavita,_kavitā
arunachala,aruṇāchala
arunachaleswara,aruṇāchaleswara
shirali_,shirālī_
tirvannamalai,tirvannāmalaī
chikku,chikkū
mavinkurve,māvinkurve
kavita,kavitā
padbidri,paḍbidri
chennai,chennaī
machan,machān
krpadrshti,kṛpādṛs͟hṭi
karakamalasanjata,karakamalasañjāta
rg,ṛg
kurukshetra,kuruks̲h̲etra
punjab,pun͂jāb
gomantak,gomāntak
srngeri,sṛngerī
margadarshana,mārgadarshana
purushartha,purus͟͟hārtha
shashikant,shashikānt
anandilal,ānandīlāl
poddar,poddār
balu,bālu
rokde,rokḍe
kamat,kāmat
akkamakka,ākkamakkā
mhantu,mhāntu
vakola,vākolā
kamala,kamalā
shankanna,shaṅkaṇṇā
kapnadak,kāpnāḍak
ajja,ājjā
mami,māmī
parvadi,parvaḍī
gaddo,gāddo
shantabai,shāntābāī
gayathri,gāyathri
wagha,wāghā
naimpaιιy,nāimpaῑῑy
balchandra,bālchandra
prayashchitta,prāyashchitta
samskrt,saṁskṛt
suvarna,suvarṇā
ramaiah,rāmaiāh
vimala,vimalā
vidyanand,vidyānand
mullerpatan,mullerpaṭaṇ
phalahara,phalāhāra
samagri,sāmagrī
samarpanam,samarpaṇam
asana,āsana
phalasamarpana,phalasamarpaṇa
krtartha,kṛtārtha
bhava,bhāva
sitaram,sitāram
gurunath,gurunāth
beιιary,beῑῑāry
hagaribommanahaιιi,hagaribommanahaῑῑi
harapanahaιιi,harapanahaῑῑi
taluka,tālukā
mauli,māulī
deepali,deepāli
poornima,poorṇimā
diksha,dīks͟hā
chikkalantulai,chikkalāntulai
kamaιa,kamaῑa
santacruz,sāntācruz
mankekar,maṅkekar
durgadas,durgādās
chapati,chapāti
rajajinagar,rajājinagar
matrchaya,mātṛchāyā
chandigarh,chaṇḍigarh
balachandra,bālachandra
sanukampa,sānukampā
shantala,shāntalā
trasikar,trāsikar
bandra,bāndrā
khar,khār
meenakshi,meenāks͟hi
karuna,karuṇā
bhakti,bhaktī
hemmady,hemmaḍy
pathshala,pāthshālā
duniya,duniyā
lagata,lagatā
molahaiii,molahaīīi
αbha,ᾱbhā
karkai,kārkaī
vaishnav,vais͟hṇav
mudbhatkai,muḍbhaṭkaī
bhavanishankaraya,bhavānīshaṅkarāya
matre,mātre
shivirarthi,shivirārthī
chaya,c͟hāyā
natha,nātha
kilpady,kilpāḍy
dada,dādā
kalyani,kalyāṇī
akku,ākku
vighnaharta,vighnahartā
sheela,sheelā
kumbie,kumbīe
bharathi,bhārathī
manjunath,mañjunāth
gurupada,gurupāda
sangha,saṅgha
pαrvati,pᾱrvatī
mahαdeva,mahᾱdeva
prabodhah,prabodhaḥ
devabhasha,devabhās͟hā
sujata,sujātā
girvana,gīrvāṇa
girvani,gīrvāṇī
adhyakshah,adhyaks͟haḥ
dipojyoti,dīpojyoti
shastra,shāstra
smrti,smṛti
rajabhasha,rājabhās͟hā
hindi,hindī
abhyasa,abhyāsa
gulvadyphoto,gulvāḍyphoto
mangalam,maṅgalam
punyatithi,puṇyatithi
hattangady,haṭṭaṅgaḍy
somgiri,somgirī
ganesh,gaṇesh
bankeshwar,baṅkeshwar
sadhakas,sādhakas
yagnashala,yagnashālā
_girvanavaikhari_,_gîrvânavaikharî_
gunjan,guñjan
hosangadi,hosaṅgaḍī
kasargod,kāsargoḍ
kerela,kerelā
bhaskar,bhāskar
papa,pāpā
davjekar,dāvjekar
akashwani,ākāshwāṇī
tala,tāla
natiyon,nātiyon
wali,wālī
lago,lāgo
khei,kheī
ghene,gheṇe
karla_during,kārlā_during
mallapur_,mallāpur_
navratri,navrātrī
punah,punaḥ
shatakalashabhisheka,shatakalashābhis͟heka
uiman,uīmaṇ
guruprasad,guruprasād
chandrashala,chandrāshālā
mahima,mahimā
jirnoddhara,jīrṇoddhāra
balalaya,bālālaya
jivakalasha,jīvakalasha
garbhagrha,garbhagṛha
kalasankocha,kalāsaṅkocha
katta,kaṭṭă
adhivasa,adhivāsa
antarapatah,antarapāṭaḥ
mangalashtaka,maṅgalās͟hṭaka
dwara,dwāra
sanyojana,sañyojana
prana,prāṇa
lingam,liṅgam
sanala,sanāla
jirnashthabandha,jīrṇās͟ht͟habandha
mahapuja,mahāpūjā
mahamangalarati,mahāmaṅgalārati
jaladhivasa,jalādhivāsa
naga,nāga
chaundi,chaunḍī
jatka,jaṭkā
sthana,sthāna
upakhyana,upākhyāna
dadar,dādar
pushpadantacharya,pus͟hpadantāchārya
matra,mātra
ahankara,ahaṅkāra
appayya,appayyā
dikshitar,diks͟hitār
katha,kathā
appaya,appayā
bhavapurna,bhāvapūrṇa
kirtanakara,kīrtanākāra
pheta,pheṭā
shallo,shāllŏ
taia,tāīa
naradiya,nāradīya
kimaya,kimayā
tukaram,tukārām
abhanga,abhaṅga
amrtamaya,amṛtamaya
panemangaior,paṇemaṅgaīor
sudhakar,sudhākar
ragade,ragaḍe
dattanand,dattānand
gulwady,gulwāḍy
dikshit,dīks͟hit
latika,latikā
heble,hebl̄e
bangalore,baṅgalore
vithal,vit̲h̲al
bhave,bhāve
shikshapith,shikshāpīt̲h̲
munshi,muṅshī
dadaguru,dādāguru
gayaki,gāyakī
ranjani,rañjanī
ambika,ambikā
sarang,sāraṅg
yogeshri,yogeshrī
zakir,zākir
udaya,udayā
hebιe,hebῑe
ramanavami,rāmanavamī
bharata,bhārata
hubbaιi,hubbaῑi
rupa,rūpa
ramanand,ramānand
subhashitam,subhās͟hitam
hegde,hegḍe
dharmasthaιa,dharmasthaῑa
ayudha,āyudha
gita,gīta
shivashankaranarayana,shivashaṅkaranārāyaṇa
kamaladevi,kamalādevī
chattopadhya,chaṭṭopādhyā
masala,masālā
dosa,dosā
